縣市,區,測站1,代號1,測站2,代號2,測站3,代號3,測站4,代號4,測站5,代號5,測站6,代號6,測站7,代號7,測站8,代號8,測站9,代號9
嘉義縣,太保市,朴子,40,新港,39,嘉義,42,,,,,,,,,,,,
嘉義縣,朴子市,朴子,40,,,,,,,,,,,,,,,,
嘉義縣,布袋鎮,朴子,40,臺南(北門),310,,,,,,,,,,,,,,
嘉義縣,鹿草鄉,朴子,40,新營,43,,,,,,,,,,,,,,
嘉義縣,義竹鄉,朴子,40,新營,43,臺南(北門),310,,,,,,,,,,,,
雲林縣,臺西鄉,臺西,41,麥寮,83,,,,,,,,,,,,,,
雲林縣,四湖鄉,臺西,41,,,,,,,,,,,,,,,,
嘉義市,東區,嘉義,42,,,,,,,,,,,,,,,,
嘉義市,西區,嘉義,42,新港,39,,,,,,,,,,,,,,
嘉義縣,竹崎鄉,嘉義,42,,,,,,,,,,,,,,,,
嘉義縣,番路鄉,嘉義,42,,,,,,,,,,,,,,,,
嘉義縣,水上鄉,嘉義,42,,,,,,,,,,,,,,,,
嘉義縣,中埔鄉,嘉義,42,,,,,,,,,,,,,,,,
臺南市,白河區,新營,43,嘉義,42,,,,,,,,,,,,,,
臺南市,後壁區,新營,43,嘉義,42,,,,,,,,,,,,,,
臺南市,鹽水區,新營,43,臺南(北門),310,臺南(麻豆),203,,,,,,,,,,,,
臺南市,新營區,新營,43,,,,,,,,,,,,,,,,
臺南市,東山區,新營,43,,,,,,,,,,,,,,,,
臺南市,柳營區,新營,43,,,,,,,,,,,,,,,,
臺南市,六甲區,新營,43,臺南(麻豆),203,,,,,,,,,,,,,,
臺南市,南化區,善化,44,,,,,,,,,,,,,,,,
臺南市,楠西區,善化,44,,,,,,,,,,,,,,,,
臺南市,官田區,善化,44,臺南(麻豆),203,,,,,,,,,,,,,,
臺南市,大內區,善化,44,,,,,,,,,,,,,,,,
臺南市,善化區,善化,44,臺南(麻豆),203,安南,45,,,,,,,,,,,,
臺南市,山上區,善化,44,,,,,,,,,,,,,,,,
臺南市,安定區,善化,44,臺南(麻豆),203,安南,45,,,,,,,,,,,,
臺南市,新市區,善化,44,臺南(麻豆),203,安南,45,,,,,,,,,,,,
臺南市,左鎮區,善化,44,,,,,,,,,,,,,,,,
臺南市,新化區,善化,44,安南,45,,,,,,,,,,,,,,
臺南市,安南區 ,安南,45,善化,44,臺南,46,,,,,,,,,,,,
臺南市,永康區,安南,45,善化,44,臺南,46,,,,,,,,,,,,
臺南市,中西區,臺南,46,安南,45,,,,,,,,,,,,,,
臺南市,安平區,臺南,46,安南,45,,,,,,,,,,,,,,
臺南市,東區,臺南,46,安南,45,,,,,,,,,,,,,,
臺南市,南區,臺南,46,安南,45,,,,,,,,,,,,,,
臺南市,北區,臺南,46,安南,45,,,,,,,,,,,,,,
臺南市,歸仁區,臺南,46,安南,45,,,,,,,,,,,,,,
臺南市,仁德區,臺南,46,安南,45,,,,,,,,,,,,,,
高雄市,美濃區,美濃,47,,,,,,,,,,,,,,,,
高雄市,旗山區,美濃,47,,,,,,,,,,,,,,,,
屏東縣,高樹鄉,美濃,47,,,,,,,,,,,,,,,,
屏東縣,里港鄉,美濃,47,,,,,,,,,,,,,,,,
高雄市,阿蓮區,橋頭,48,,,,,,,,,,,,,,,,
高雄市,路竹區,橋頭,48,,,,,,,,,,,,,,,,
高雄市,永安區,橋頭,48,,,,,,,,,,,,,,,,
高雄市,岡山區,橋頭,48,楠梓,53,,,,,,,,,,,,,,
高雄市,燕巢區,橋頭,48,楠梓,53,仁武,49,,,,,,,,,,,,
高雄市,彌陀區,橋頭,48,楠梓,53,,,,,,,,,,,,,,
高雄市,橋頭區,橋頭,48,楠梓,53,仁武,49,左營,54,,,,,,,,,,
高雄市,梓官區,橋頭,48,楠梓,53,仁武,49,左營,54,,,,,,,,,,
高雄市,苓雅區,仁武,49,左營,54,前金,56,鳳山,50,復興,71,前鎮,57,小港,58,,,,
高雄市,前鎮區,仁武,49,左營,54,前金,56,鳳山,50,復興,71,前鎮,57,小港,58,,,,
高雄市,大社區,仁武,49,橋頭,48,楠梓,53,左營,54,,,,,,,,,,
高雄市,仁武區,仁武,49,橋頭,48,楠梓,53,左營,54,前金,56,鳳山,50,復興,71,前鎮,57,,
高雄市,三民區,鳳山,50,楠梓,53,仁武,49,左營,54,前金,56,復興,71,前鎮,57,小港,58,,
高雄市,新興區,鳳山,50,仁武,49,左營,54,前金,56,復興,71,前鎮,57,小港,58,,,,
高雄市,前金區,鳳山,50,仁武,49,左營,54,前金,56,復興,71,前鎮,57,小港,58,,,,
高雄市,鳥松區,鳳山,50,楠梓,53,仁武,49,左營,54,前金,56,復興,71,前鎮,57,小港,58,大寮,51
高雄市,鳳山區,鳳山,50,仁武,49,左營,54,前金,56,復興,71,前鎮,57,小港,58,大寮,51,,
高雄市,大寮區,大寮,51,鳳山,50,復興,71,前鎮,57,小港,58,林園,52,屏東,59,,,,
高雄市,林園區,林園,52,小港,58,大寮,51,,,,,,,,,,,,
高雄市,楠梓區,楠梓,53,橋頭,48,仁武,49,左營,54,前金,56,,,,,,,,
高雄市,左營區,左營,54,橋頭,48,楠梓,53,仁武,49,前金,56,鳳山,50,復興,71,前鎮,57,,
高雄市,鼓山區,左營,54,楠梓,53,仁武,49,前金,56,鳳山,50,復興,71,前鎮,57,小港,58,,
高雄市,鹽埕區,左營,54,前金,56,鳳山,50,復興,71,前鎮,57,小港,58,,,,,,
高雄市,旗津區,左營,54,前金,56,鳳山,50,復興,71,前鎮,57,小港,58,,,,,,
高雄市,小港區,小港,58,前金,56,鳳山,50,復興,71,前鎮,57,大寮,51,林園,52,,,,
高雄市,大樹區,屏東,59,,,,,,,,,,,,,,,,
屏東縣,鹽埔鄉,屏東,59,,,,,,,,,,,,,,,,
屏東縣,九如鄉,屏東,59,,,,,,,,,,,,,,,,
屏東縣,長治鄉,屏東,59,,,,,,,,,,,,,,,,
屏東縣,屏東市,屏東,59,,,,,,,,,,,,,,,,
屏東縣,內埔鄉,屏東,59,,,,,,,,,,,,,,,,
屏東縣,麟洛鄉,屏東,59,,,,,,,,,,,,,,,,
屏東縣,萬巒鄉,潮州,60,,,,,,,,,,,,,,,,
屏東縣,竹田鄉,潮州,60,大寮,51,屏東,59,,,,,,,,,,,,
屏東縣,萬丹鄉,潮州,60,大寮,51,屏東,59,,,,,,,,,,,,
屏東縣,潮州鎮,潮州,60,,,,,,,,,,,,,,,,
屏東縣,新園鄉,潮州,60,大寮,51,林園,52,,,,,,,,,,,,
屏東縣,崁頂鄉,潮州,60,大寮,51,林園,52,,,,,,,,,,,,
屏東縣,新埤鄉,潮州,60,,,,,,,,,,,,,,,,
屏東縣,南州鄉,潮州,60,林園,52,,,,,,,,,,,,,,
屏東縣,東港鎮,潮州,60,林園,52,,,,,,,,,,,,,,
屏東縣,林邊鄉,潮州,60,,,,,,,,,,,,,,,,
屏東縣,佳冬鄉,潮州,60,,,,,,,,,,,,,,,,
屏東縣,枋寮鄉,潮州,60,,,,,,,,,,,,,,,,
屏東縣,滿州鄉,恆春,61,,,,,,,,,,,,,,,,
屏東縣,車城鄉,恆春,61,,,,,,,,,,,,,,,,
屏東縣,恆春鎮,恆春,61,,,,,,,,,,,,,,,,
臺東縣,卑南鄉,臺東,62,,,,,,,,,,,,,,,,
臺東縣,臺東市,臺東,62,,,,,,,,,,,,,,,,
臺東縣,太麻里鄉,臺東,62,,,,,,,,,,,,,,,,
臺東縣,綠島鄉,臺東,62,,,,,,,,,,,,,,,,
臺東縣,達仁鄉,臺東,62,,,,,,,,,,,,,,,,
臺東縣,大武鄉,臺東,62,,,,,,,,,,,,,,,,
臺東縣,蘭嶼鄉,臺東,62,,,,,,,,,,,,,,,,
臺東縣,金峰鄉,臺東,62,,,,,,,,,,,,,,,,
花蓮縣,秀林鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,新城鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,花蓮市,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,吉安鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,壽豐鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,萬榮鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,鳳林鎮,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,豐濱鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,光復鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,卓溪鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,瑞穗鄉,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,玉里鎮,花蓮,63,,,,,,,,,,,,,,,,
花蓮縣,富里鄉,花蓮,63,,,,,,,,,,,,,,,,
宜蘭縣,頭城鎮,宜蘭,65,,,,,,,,,,,,,,,,
宜蘭縣,礁溪鄉,宜蘭,65,,,,,,,,,,,,,,,,
宜蘭縣,壯圍鄉,宜蘭,65,,,,,,,,,,,,,,,,
宜蘭縣,員山鄉,宜蘭,65,,,,,,,,,,,,,,,,
宜蘭縣,宜蘭市,宜蘭,65,,,,,,,,,,,,,,,,
宜蘭縣,五結鄉,宜蘭,65,冬山,66,,,,,,,,,,,,,,
宜蘭縣,三星鄉,宜蘭,65,冬山,66,,,,,,,,,,,,,,
宜蘭縣,羅東鎮,宜蘭,65,,,,,,,,,,,,,,,,
宜蘭縣,冬山鄉,宜蘭,65,冬山,66,,,,,,,,,,,,,,
宜蘭縣,蘇澳鎮,冬山,66,,,,,,,,,,,,,,,,
新北市,五股區,三重,67,菜寮,8,新莊,7,林口,9,淡水,10,,,,,,,,
新北市,蘆洲區,三重,67,菜寮,8,林口,9,淡水,10,,,,,,,,,,
彰化縣,二水鄉,竹山,69,,,,,,,,,,,,,,,,
南投縣,集集鎮,竹山,69,,,,,,,,,,,,,,,,
南投縣,竹山鎮,竹山,69,,,,,,,,,,,,,,,,
南投縣,鹿谷鄉,竹山,69,,,,,,,,,,,,,,,,
新北市,永和區,永和,70,萬華,13,古亭,14,新店,4,,,,,,,,,,
新北市,中和區,永和,70,土城,5,板橋,6,,,,,,,,,,,,
南投縣,埔里鎮,埔里,72,,,,,,,,,,,,,,,,
南投縣,魚池鄉,埔里,72,,,,,,,,,,,,,,,,
連江縣,南竿鄉,馬祖,75,,,,,,,,,,,,,,,,
連江縣,北竿鄉,馬祖,75,,,,,,,,,,,,,,,,
連江縣,莒光鄉,馬祖,75,,,,,,,,,,,,,,,,
連江縣,東引鄉,馬祖,75,,,,,,,,,,,,,,,,
金門縣,金城鎮,金門,77,,,,,,,,,,,,,,,,
金門縣,金湖鎮,金門,77,,,,,,,,,,,,,,,,
金門縣,金沙鎮,金門,77,,,,,,,,,,,,,,,,
金門縣,金寧鄉,金門,77,,,,,,,,,,,,,,,,
金門縣,烈嶼鄉,金門,77,,,,,,,,,,,,,,,,
金門縣,烏坵鄉,金門,77,,,,,,,,,,,,,,,,
澎湖縣,白沙鄉,馬公,78,,,,,,,,,,,,,,,,
澎湖縣,西嶼鄉,馬公,78,,,,,,,,,,,,,,,,
澎湖縣,湖西鄉,馬公,78,,,,,,,,,,,,,,,,
澎湖縣,馬公市,馬公,78,,,,,,,,,,,,,,,,
澎湖縣,望安鄉,馬公,78,,,,,,,,,,,,,,,,
澎湖縣,七美鄉,馬公,78,,,,,,,,,,,,,,,,
臺東縣,長濱鄉,關山,80,,,,,,,,,,,,,,,,
臺東縣,海端鄉,關山,80,,,,,,,,,,,,,,,,
臺東縣,池上鄉,關山,80,,,,,,,,,,,,,,,,
臺東縣,成功鎮,關山,80,,,,,,,,,,,,,,,,
臺東縣,關山鎮,關山,80,,,,,,,,,,,,,,,,
臺東縣,東河鄉,關山,80,,,,,,,,,,,,,,,,
臺東縣,鹿野鄉,關山,80,,,,,,,,,,,,,,,,
臺東縣,延平鄉,關山,80,,,,,,,,,,,,,,,,
雲林縣,麥寮鄉,麥寮,83,彰化(大城),202,崙背,38,臺西,41,,,,,,,,,,
雲林縣,東勢鄉,麥寮,83,崙背,38,臺西,41,,,,,,,,,,,,
新北市,石門區,富貴角,84,,,,,,,,,,,,,,,,
新北市,三芝區,富貴角,84,淡水,10,,,,,,,,,,,,,,
臺南市,下營區,臺南(麻豆),203,新營,43,,,,,,,,,,,,,,
臺南市,麻豆區,臺南(麻豆),203,,,,,,,,,,,,,,,,
臺南市,佳里區,臺南(麻豆),203,臺南(北門),310,,,,,,,,,,,,,,
臺南市,七股區,臺南(麻豆),203,安南,45,,,,,,,,,,,,,,
臺南市,西港區,臺南(麻豆),203,善化,44,安南,45,,,,,,,,,,,,
彰化縣,大城鄉,彰化(大城),202,二林,35,崙背,38,,,,,,,,,,,,
新北市,樹林區,新北(樹林),311,土城,5,,,,,,,,,,,,,,
新北市,鶯歌區,新北(樹林),311,桃園,17,,,,,,,,,,,,,,
新北市,三峽區,新北(樹林),311,桃園,17,,,,,,,,,,,,,,
屏東縣,琉球鄉,屏東(琉球),204,,,,,,,,,,,,,,,,
臺南市,北門區,臺南(北門),310,,,,,,,,,,,,,,,,
臺南市,學甲區,臺南(北門),310,臺南(麻豆),203,,,,,,,,,,,,,,
臺南市,將軍區,臺南(北門),310,臺南(麻豆),203,,,,,,,,,,,,,,
新北市,雙溪區,,,,,,,,,,,,,,,,,,
新北市,貢寮區,,,,,,,,,,,,,,,,,,
新北市,平溪區,,,,,,,,,,,,,,,,,,
新北市,石碇區,,,,,,,,,,,,,,,,,,
新北市,深坑區,,,,,,,,,,,,,,,,,,
新北市,坪林區,,,,,,,,,,,,,,,,,,
新北市,烏來區,,,,,,,,,,,,,,,,,,
宜蘭縣,大同鄉,,,,,,,,,,,,,,,,,,
宜蘭縣,南澳鄉,,,,,,,,,,,,,,,,,,
桃園市,復興區,,,,,,,,,,,,,,,,,,
新竹縣,尖石鄉,,,,,,,,,,,,,,,,,,
新竹縣,五峰鄉,,,,,,,,,,,,,,,,,,
苗栗縣,南庄鄉,,,,,,,,,,,,,,,,,,
苗栗縣,獅潭鄉,,,,,,,,,,,,,,,,,,
苗栗縣,泰安鄉,,,,,,,,,,,,,,,,,,
臺中市,和平區,,,,,,,,,,,,,,,,,,
彰化縣,北斗鎮,,,,,,,,,,,,,,,,,,
彰化縣,溪州鄉,,,,,,,,,,,,,,,,,,
嘉義縣,阿里山鄉,,,,,,,,,,,,,,,,,,
嘉義縣,梅山鄉,,,,,,,,,,,,,,,,,,
嘉義縣,大埔鄉,,,,,,,,,,,,,,,,,,
臺南市,玉井區,,,,,,,,,,,,,,,,,,
臺南市,關廟區,,,,,,,,,,,,,,,,,,
臺南市,龍崎嶇,,,,,,,,,,,,,,,,,,
高雄市,那瑪夏區,,,,,,,,,,,,,,,,,,
高雄市,甲仙區,,,,,,,,,,,,,,,,,,
高雄市,六龜區,,,,,,,,,,,,,,,,,,
高雄市,杉林區,,,,,,,,,,,,,,,,,,
高雄市,內門區,,,,,,,,,,,,,,,,,,
高雄市,茂林區,,,,,,,,,,,,,,,,,,
高雄市,田寮區,,,,,,,,,,,,,,,,,,
高雄市,湖內區,,,,,,,,,,,,,,,,,,
高雄市,茄萣區,,,,,,,,,,,,,,,,,,
高雄市,桃源區,,,,,,,,,,,,,,,,,,
屏東縣,三地門鄉,,,,,,,,,,,,,,,,,,
屏東縣,霧臺鄉,,,,,,,,,,,,,,,,,,
屏東縣,瑪家鄉,,,,,,,,,,,,,,,,,,
屏東縣,泰武鄉,,,,,,,,,,,,,,,,,,
屏東縣,來義鄉,,,,,,,,,,,,,,,,,,
屏東縣,春日鄉,,,,,,,,,,,,,,,,,,
屏東縣,獅子鄉,,,,,,,,,,,,,,,,,,
屏東縣,枋山鄉,,,,,,,,,,,,,,,,,,
屏東縣,牡丹鄉,,,,,,,,,,,,,,,,,,
南投縣,仁愛鄉,,,,,,,,,,,,,,,,,,
南投縣,國姓鄉,,,,,,,,,,,,,,,,,,
南投縣,中寮鄉,,,,,,,,,,,,,,,,,,
南投縣,水里鄉,,,,,,,,,,,,,,,,,,
南投縣,信義鄉,,,,,,,,,,,,,,,,,,
